sampling_order,codigo,status,protection,notes
153,6333,muerto,con malla,
158,6336,vivo,con malla,
156,6337,vivo,con malla,left fence
161,6342,vivo,con malla,left fence
164,6344,muerto,con malla,
106,6347,muerto,con malla,
107,6349,muerto,con malla,
112,6351,muerto,con malla,
109,6352,muerto,con malla,
114,6355,vivo,con malla,left fence
124,6356,vivo,con malla,left fence
117,6358,muerto,con malla,
173,6961,muerto,con malla,
115,6967,vivo,con malla,left fence
127,6969,vivo,con malla,left fence
155,7572,vivo,con malla,left fence
157,7573,vivo,con malla,left fence
150,7574,vivo,con malla,left fence
151,7575,muerto,con malla,
116,7576,muerto,con malla,
110,7577,vivo,con malla,left fence
122,7583,muerto,con malla,
176,7585,vivo,con malla,left fence
130,7588,vivo,con malla,left fence
166,7590,vivo,con malla,left fence
66,7593,vivo,con malla,
61,7594,vivo,con malla,
59,7596,muerto,con malla,
58,7597,vivo,con malla,
56,7598,muerto,con malla,
54,7600,vivo,con malla,
50,7601,vivo,con malla,
49,7602,vivo,con malla,
64,7603,vivo,con malla,
65,7604,vivo,con malla,
8,7605,vivo,con malla,
53,7606,vivo,con malla,
11,7608,vivo,sin malla,
32,7609,vivo,con malla,
33,7610,vivo,con malla,
6,7612,vivo,con malla,
31,7613,vivo,con malla,
4,7614,vivo,con malla,
2,7616,vivo,con malla,
40,7617,muerto,con malla,
35,7618,muerto,con malla,
44,7620,vivo,con malla,
43,7621,vivo,con malla,
41,7622,vivo,con malla,
3,7626,muerto,con malla,
27,7627,vivo,con malla,
26,7628,vivo,con malla,
25,7629,vivo,con malla,
23,7630,vivo,con malla,
28,7632,vivo,con malla,
15,7634,vivo,con malla,
129,10080,muerto,con malla,
131,10081,muerto,con malla,
175,10082,vivo,con malla,left fence
118,10084,vivo,con malla,left fence
123,10085,vivo,con malla,
137,10086,muerto,con malla,
148,10088,muerto,con malla,
147,10089,muerto,con malla,
146,10090,muerto,con malla,
125,10092,muerto,con malla,10092
140,10094,muerto,con malla,
102,10102,muerto,con malla,
84,10103,muerto,con malla,
85,10104,muerto,con malla,
91,10106,muerto,con malla,
111,10108,vivo,con malla,left fence
81,10110,muerto,con malla,
80,10111,muerto,con malla,
79,10112,muerto,con malla,
77,10113,muerto,con malla,
78,10114,muerto,con malla,
76,10115,muerto,con malla,
71,10120,muerto,sin malla,
67,10121,muerto,con malla,
83,10123,muerto,con malla,
209,10125,muerto,con malla,
211,10126,muerto,con malla,
210,10127,muerto,con malla,
218,10132,muerto,con malla,
221,10133,muerto,con malla,
222,10134,muerto,con malla,
224,10136,muerto,con malla,
232,10142,muerto,con malla,
88,10145,muerto,con malla,
167,10151,muerto,con malla,
55,10154,muerto,con malla,
37,10157,muerto,con malla,
96,10160,muerto,con malla,
225,10342,vivo,con malla,left fence
208,10343,vivo,con malla,
214,10344,muerto,con malla,
139,10347,vivo,con malla,
143,10348,muerto,con malla,
217,10349,vivo,con malla,
105,10351,muerto,con malla,
149,10352,muerto,con malla,
1,10353,muerto,con malla,
21,10354,vivo,con malla,
22,10355,vivo,con malla,
16,10429,muerto,con malla,
47,10430,vivo,con malla,
75,10431,muerto,con malla,
92,10432,muerto,con malla,
145,10434,muerto,con malla,
86,10435,vivo,con malla,
103,10436,muerto,con malla,
104,10437,muerto,con malla,
121,10438,vivo,con malla,
113,10439,vivo,con malla,left fence
160,10441,muerto,con malla,
216,10444,muerto,con malla,
213,10445,vivo,con malla,
34,11184,muerto,sin malla,big wall of stones
42,11185,muerto,sin malla,
46,11186,vivo,sin malla,
45,11187,vivo,sin malla,
36,11188,muerto,sin malla,
18,11189,muerto,sin malla,
14,11190,muerto,sin malla,
17,11191,muerto,sin malla,
19,11192,muerto,sin malla,
20,11193,muerto,sin malla,
7,11194,vivo,sin malla,
24,11195,muerto,sin malla,
10,11196,muerto,sin malla,dead from rock
30,11197,muerto,sin malla,
29,11198,muerto,sin malla,
9,11199,muerto,sin malla,
12,11200,vivo,sin malla,
13,11201,vivo,sin malla,CPL2013
57,11203,muerto,sin malla,
48,11204,muerto,sin malla,
60,11205,vivo,sin malla,
52,11207,muerto,sin malla,
51,11208,vivo,sin malla,
62,11209,muerto,sin malla,
63,11210,vivo,sin malla,
38,11211,muerto,sin malla,
39,11212,vivo,sin malla,
5,11213,muerto,sin malla,
70,11214,vivo,sin malla,
69,11215,muerto,sin malla,
72,11216,muerto,sin malla,
73,11217,muerto,sin malla,
74,11218,muerto,sin malla,
68,11219,muerto,sin malla,
98,11220,muerto,sin malla,
97,11221,vivo,sin malla,
95,11222,muerto,sin malla,
100,11223,vivo,sin malla,
101,11224,muerto,sin malla,
99,11225,muerto,sin malla,
93,11226,muerto,sin malla,
170,11230,muerto,sin malla,
165,11231,muerto,sin malla,
169,11232,vivo,sin malla,
168,11233,vivo,sin malla,
162,11234,muerto,sin malla,
159,11235,muerto,sin malla,
154,11236,muerto,sin malla,
108,11237,muerto,sin malla,
135,11239,vivo,sin malla,
134,11240,muerto,sin malla,
133,11241,muerto,sin malla,
132,11242,muerto,sin malla,
128,11243,muerto,sin malla,
126,11244,muerto,sin malla,
178,11247,muerto,sin malla,
179,11248,muerto,sin malla,
180,11249,vivo,sin malla,
181,11250,muerto,sin malla,
183,11251,vivo,sin malla,
182,11252,vivo,sin malla,
184,11253,vivo,sin malla,
185,11254,muerto,sin malla,
187,11255,muerto,sin malla,
186,11256,vivo,sin malla,
188,11257,muerto,sin malla,
177,11258,vivo,sin malla,
189,11259,vivo,sin malla,
190,11260,vivo,sin malla,
191,11261,vivo,sin malla,
141,11264,muerto,sin malla,
192,11266,vivo,sin malla,
198,11267,vivo,sin malla,
199,11268,vivo,sin malla,
201,11269,muerto,sin malla,
193,11270,muerto,sin malla,
204,11271,vivo,sin malla,
200,11272,vivo,sin malla,
202,11273,vivo,sin malla,
203,11274,vivo,sin malla,
206,11275,vivo,sin malla,
197,11276,vivo,sin malla,
212,11279,muerto,sin malla,
223,11281,muerto,sin malla,
215,11282,vivo,sin malla,
220,11283,vivo,sin malla,
234,11284,muerto,sin malla,
228,11286,vivo,sin malla,
227,11287,vivo,sin malla,
235,11288,vivo,sin malla,
230,11289,muerto,sin malla,
231,11290,muerto,sin malla,
236,11291,muerto,sin malla,
233,11292,vivo,sin malla,
229,11293,muerto,sin malla,
205,11294,vivo,sin malla,
219,11295,vivo,sin malla,
119,NA,muerto,con malla,7581 (dup)
163,NA,vivo,con malla,7581 (dup) left fence
174,NA,vivo,con malla,left fence
94,NA,vivo,sin malla,11227 (dup)
171,NA,vivo,sin malla,11227 (dup)
90,NA,muerto,sin malla,11228 (dup)
144,NA,muerto,sin malla,11228 (dup)
87,NA,muerto,sin malla,11229 (dup)
172,NA,muerto,sin malla,11229 (dup)
82,NA,muerto,sin malla,11238 (dup)
136,NA,muerto,sin malla,11238 (dup)
89,NA,vivo,sin malla,11262 (dup)
142,NA,vivo,sin malla,11262 (dup)
195,NA,vivo,sin malla,11278 (dup)
207,NA,vivo,sin malla,11278 (dup)
194,NA,vivo,sin malla,11285 (dup)
226,NA,muerto,sin malla,11285 (dup)
138,NA,muerto,con malla,(camera #1 location)
152,NA,muerto,con malla,10044(?)
196,6976,vivo,sin malla,(?) control